Tray	Soil	Treatment	Column	Row	Stage	Shoot_length	Shoot_fresh_weight	Root_dry_weight	Shoot_dry_weight
8	AN	NC	B	6	4	24.2	0.25	0.0091	0.0514
8	AN	NC	B	7	5	35.1	0.49	0.0241	0.1149
8	AN	NC	B	8	4	27	0.24	0.0064	0.0442
8	AN	NC	B	9	5	38.9	0.58	0.0229	0.1209
8	AN	NC	B	10	5	40	0.52	0.022	0.113
8	AN	NC	B	11	4	28.6	0.27	0.0099	0.0548
8	AN	NC	B	12	4	35.2	0.4	0.0152	0.0822
8	AN	NC	C	1	4	34	0.4	0.0167	0.0859
8	AN	NC	C	2	4	32.2	0.24	0.0116	0.0465
8	AN	NC	C	3	5	41.5	0.58	0.0259	0.1261
8	AN	NC	C	4	NA	NA	NA	NA	NA
8	AN	NC	C	5	4	34.1	0.37	0.0186	0.0847
8	AN	NC	C	6	4	37.6	0.48	0.0197	0.1056
8	AN	NC	C	7	3	27.8	0.18	0.0077	0.0362
8	AN	NC	C	8	4	33.6	0.37	0.0177	0.0771
8	AN	NC	C	9	4	30.6	0.31	0.0113	0.0569
8	AN	NC	C	10	4	32	0.3	0.013	0.0604
8	AN	NC	C	11	5	40.8	0.55	0.0225	0.1256
8	AN	NC	C	12	4	32.1	0.32	0.0107	0.0643
8	AN	NC	D	1	4	34.2	0.32	0.0137	0.0646
8	AN	NC	D	2	NA	NA	NA	NA	NA
8	AN	NC	D	3	5	36.5	0.42	0.0247	0.0893
8	AN	NC	D	4	5	40	0.53	0.0292	0.1137
8	AN	NC	D	5	5	36.5	0.45	0.018	0.1001
8	AN	NC	D	6	5	39	0.57	0.0212	0.104
8	AN	NC	D	7	4	32.1	0.39	0.019	0.0914
8	AN	NC	D	8	5	38.7	0.67	0.0245	0.1381
8	AN	NC	D	9	4	31.1	0.31	0.012	0.0608
8	AN	NC	D	10	4	30.8	0.32	0.0173	0.0685
8	AN	NC	D	11	4	37.4	0.51	0.0164	0.1109
8	AN	NC	D	12	5	39.4	0.52	0.0315	0.1224
8	AN	NC	E	1	4	37.2	0.43	0.0301	0.1014
8	AN	NC	E	2	4	33	0.32	0.0117	0.0633
8	AN	NC	E	3	5	37.1	0.56	0.0308	0.1203
8	AN	NC	E	4	4	37.7	0.46	0.0163	0.0957
8	AN	NC	E	5	4	36.1	0.46	0.0209	0.097
8	AN	NC	E	6	4	31.6	0.3	NA	0.0623
8	AN	NC	E	7	4	35.1	0.39	0.0183	0.0818
8	AN	NC	E	8	5	40.8	0.58	0.0291	0.1219
8	AN	NC	E	9	4	33.1	0.42	0.019	0.0936
8	AN	NC	E	10	4	40	0.43	0.0199	0.0923
8	AN	NC	E	11	5	40.2	0.6	0.0295	0.1368
8	AN	NC	E	12	4	31.1	0.29	0.0144	0.057
8	AN	NC	F	1	4	33.7	0.29	0.0113	0.0567
8	AN	NC	F	2	4	35.5	0.4	0.0194	0.0933
8	AN	NC	F	3	4	35.5	0.42	0.0239	0.0858
8	AN	NC	F	4	3	22.4	0.12	0.0019	0.022
8	AN	NC	F	5	5	37	0.4	0.0135	0.0937
8	AN	NC	F	6	4	34.3	0.4	0.0149	0.084
8	AN	NC	F	7	5	38.9	0.47	0.0253	0.1129
8	AN	NC	F	8	3	28.5	0.25	0.0152	0.0556
8	AN	NC	F	9	4	29.2	0.24	0.0094	0.0548
8	AN	NC	F	10	4	40	0.49	NA	0.1214
8	AN	NC	F	11	3	18.2	0.12	0.0057	0.022
8	AN	NC	F	12	4	28.5	0.26	0.0122	0.0472
9	AA	Ino	A	1	4	27.9	0.18	0.012	0.0393
9	AA	Ino	A	2	4	30.2	0.25	0.0137	0.0555
9	AA	Ino	A	3	4	30.1	0.35	0.0137	0.0796
9	AA	Ino	A	4	4	28.5	0.35	0.0182	0.0935
9	AA	Ino	A	5	5	33.1	0.39	0.0179	0.0903
9	AA	Ino	A	6	4	33.2	0.28	0.0152	0.0666
9	AA	Ino	A	7	4	27.3	0.31	0.0079	0.0652
9	AA	Ino	A	8	5	28.2	0.42	0.0132	0.0994
9	AA	Ino	A	9	4	28	0.27	0.0135	0.065
9	AA	Ino	A	10	4	30.6	0.35	0.0179	0.0853
9	AA	Ino	A	11	4	29.1	0.27	0.0076	0.0572
9	AA	Ino	A	12	4	28.1	0.3	0.0157	0.0711
9	AA	Ino	B	1	4	31.2	0.33	0.0182	0.075
9	AA	Ino	B	2	4	33.1	0.3	0.0119	0.0652
9	AA	Ino	B	3	4	30.3	0.35	0.0088	0.0837
9	AA	Ino	B	4	5	29.7	0.35	0.0177	0.0735
9	AA	Ino	B	5	4	29.1	0.34	0.0199	0.084
9	AA	Ino	B	6	5	35.6	0.4	0.0193	0.0913
9	AA	Ino	B	7	4	35.2	0.25	0.0124	0.0593
9	AA	Ino	B	8	4	30.1	0.26	0.0128	0.0532
9	AA	Ino	B	9	4	33.4	0.3	0.0077	0.0699
9	AA	Ino	B	10	4	30.1	0.33	0.0171	0.0756
9	AA	Ino	B	11	3	25	0.17	0.0023	0.0371
9	AA	Ino	B	12	4	33	0.41	0.0129	0.0937
9	AA	Ino	C	1	4	32.6	0.37	0.0212	0.0827
9	AA	Ino	C	2	4	30.5	0.37	0.0186	0.0922
9	AA	Ino	C	3	4	31	0.37	0.0162	0.0848
9	AA	Ino	C	4	4	31.1	0.39	0.0167	0.0922
9	AA	Ino	C	5	4	28.6	0.36	0.0137	0.0795
9	AA	Ino	C	6	4	28	0.35	0.017	0.077
9	AA	Ino	C	7	4	26	0.24	0.0142	0.0568
9	AA	Ino	C	8	4	28.9	0.27	0.0129	0.0631
9	AA	Ino	C	9	5	30.6	0.35	0.0165	0.0746
9	AA	Ino	C	10	4	27.4	0.35	0.0175	0.0809
9	AA	Ino	C	11	4	25.7	0.27	0.0119	0.0604
9	AA	Ino	C	12	4	30.9	0.35	0.0214	0.0912
9	AA	Ino	D	1	4	27	0.25	0.0106	0.0535
9	AA	Ino	D	2	4	32.3	0.32	0.0135	0.0671
9	AA	Ino	D	3	4	30.3	0.32	0.0138	0.0771
9	AA	Ino	D	4	4	29.2	0.3	0.0167	0.0667
9	AA	Ino	D	5	4	33.1	0.4	0.0169	0.0902
9	AA	Ino	D	6	4	27.3	0.31	NA	0.0689
9	AA	Ino	D	7	4	26.6	0.31	0.0111	0.0703
9	AA	Ino	D	8	4	22.3	0.24	0.0128	0.0526
9	AA	Ino	D	9	4	22.4	0.14	0.0015	0.0404
9	AA	Ino	D	10	4	25.1	0.27	0.0148	0.0632
9	AA	Ino	D	11	4	29.2	0.33	0.0184	0.0763
9	AA	Ino	D	12	4	25.3	0.27	0.0106	0.0632
9	AA	Ino	E	1	4	30.5	0.38	0.0187	0.0893
9	AA	Ino	E	2	3	17.2	0.11	0.002	0.02
9	AA	Ino	E	3	4	28.6	0.19	0.0091	0.0396
9	AA	Ino	E	4	4	23.2	0.21	0.0095	0.0488
9	AA	Ino	E	5	4	32.7	0.41	0.0111	0.0925
9	AA	Ino	E	6	4	28.5	0.32	0.0122	0.0687
9	AA	Ino	E	7	NA	NA	NA	NA	NA
9	AA	Ino	E	8	4	29.2	0.34	0.0139	0.0795
9	AA	Ino	E	9	4	24.6	0.24	0.0134	0.0538
9	AA	Ino	E	10	4	25.2	0.25	0.0142	0.0568
9	AA	Ino	E	11	4	31	0.38	0.02	0.0765
9	AA	Ino	E	12	4	27.7	0.36	NA	0.0765
9	AA	Ino	F	1	4	30.7	0.2	0.0158	0.0482
9	AA	Ino	F	2	4	27.7	0.3	0.0156	0.0729
9	AA	Ino	F	3	4	34.2	0.42	0.0206	0.0961
9	AA	Ino	F	4	4	28.5	0.32	0.0131	0.0704
9	AA	Ino	F	5	4	29	0.39	0.0163	0.0898
9	AA	Ino	F	6	4	25.2	0.21	0.0079	0.0502
9	AA	Ino	F	7	4	26.2	0.26	0.0084	0.0626
9	AA	Ino	F	8	5	32.6	0.41	0.0083	0.0858
9	AA	Ino	F	9	4	23.2	0.27	0.0082	0.064
9	AA	Ino	F	10	4	29.1	0.36	0.0158	0.079
9	AA	Ino	F	11	4	27.9	0.3	0.0109	0.0745
9	AA	Ino	F	12	4	23.3	0.26	0.0124	0.0572
10	Sac	Ino	A	1	5	49	0.66	0.0309	0.1539
10	Sac	Ino	A	2	4	41	0.44	0.0264	0.1022
10	Sac	Ino	A	3	4	37.6	0.34	0.0174	0.0706
10	Sac	Ino	A	4	3	28.6	0.19	0.0074	0.039
10	Sac	Ino	A	5	5	48.1	0.56	0.0214	0.1288
10	Sac	Ino	A	6	6	49.8	1.04	0.0276	0.2372
10	Sac	Ino	A	7	NA	NA	NA	NA	NA
10	Sac	Ino	A	8	5	52.3	0.88	0.0245	0.1683
10	Sac	Ino	A	9	5	48.2	0.93	NA	0.2072
10	Sac	Ino	A	10	NA	NA	NA	NA	NA
10	Sac	Ino	A	11	4	48.8	0.56	0.0199	0.1159
10	Sac	Ino	A	12	4	43.9	0.54	0.0105	0.1064
10	Sac	Ino	B	1	5	48	0.68	0.0359	0.1488
10	Sac	Ino	B	2	5	47.9	0.77	0.0334	0.1778
10	Sac	Ino	B	3	4	32.8	0.33	0.01	0.0784
10	Sac	Ino	B	4	5	50.1	0.79	0.0262	0.1669
10	Sac	Ino	B	5	6	50	1.03	NA	0.2223
10	Sac	Ino	B	6	4	49	0.86	0.0263	0.1889
10	Sac	Ino	B	7	5	45	0.7	0.0197	0.1469
10	Sac	Ino	B	8	4	46.1	0.58	0.018	0.1211
10	Sac	Ino	B	9	5	48.6	0.67	0.0178	0.1426
10	Sac	Ino	B	10	5	47.3	0.8	0.0171	0.1523
10	Sac	Ino	B	11	5	48.1	0.97	0.0202	0.19
10	Sac	Ino	B	12	4	38.2	0.43	0.0095	0.0857
10	Sac	Ino	C	1	4	45	0.52	0.0243	0.1202
10	Sac	Ino	C	2	5	48.1	0.67	0.0241	0.1417
10	Sac	Ino	C	3	4	36.6	0.34	0.0094	0.0722
10	Sac	Ino	C	4	4	47.7	0.64	0.0268	0.1481
10	Sac	Ino	C	5	5	46.3	0.8	0.0362	0.1668
10	Sac	Ino	C	6	5	46.2	0.82	0.0208	0.1729
10	Sac	Ino	C	7	NA	NA	NA	NA	NA
10	Sac	Ino	C	8	5	49.4	0.79	0.0182	0.1572
10	Sac	Ino	C	9	4	42.3	0.41	0.0095	0.0885
10	Sac	Ino	C	10	5	50.8	0.65	0.0144	0.1385
10	Sac	Ino	C	11	4	45.1	0.5	0.0103	0.1036
10	Sac	Ino	C	12	4	36.2	0.26	0.0101	0.0507
10	Sac	Ino	D	1	4	44.6	0.47	0.0063	0.0904
10	Sac	Ino	D	2	5	47.8	0.64	0.0198	0.1495
10	Sac	Ino	D	3	5	44.6	0.65	0.0198	0.1476
10	Sac	Ino	D	4	5	47.5	0.66	0.028	0.1457
10	Sac	Ino	D	5	5	45.2	0.5	0.0131	0.1047
10	Sac	Ino	D	6	5	49.2	0.72	0.0162	0.1501
10	Sac	Ino	D	7	5	49	0.86	0.0246	0.1865
10	Sac	Ino	D	8	5	47.2	0.7	0.0174	0.1394
10	Sac	Ino	D	9	4	38.7	0.41	0.0096	0.0803
10	Sac	Ino	D	10	5	49.6	1.12	0.0275	0.2339
10	Sac	Ino	D	11	5	51.2	0.63	0.0127	0.1223
10	Sac	Ino	D	12	5	45.3	0.97	0.0226	0.2057
10	Sac	Ino	E	1	5	42	0.56	0.0198	0.1268
10	Sac	Ino	E	2	5	44.2	0.6	0.0179	0.131
10	Sac	Ino	E	3	5	51.2	0.91	0.0351	0.1831
10	Sac	Ino	E	4	5	50.3	0.75	0.0296	0.1621
10	Sac	Ino	E	5	7	46	0.89	0.0276	0.1891
10	Sac	Ino	E	6	5	46.3	0.76	0.0181	0.1519
10	Sac	Ino	E	7	5	48.2	0.84	0.0235	0.176
10	Sac	Ino	E	8	5	50.5	0.81	0.0245	0.1621
10	Sac	Ino	E	9	5	47.6	0.77	0.0241	0.1524
10	Sac	Ino	E	10	5	47.6	0.77	0.0185	0.1468
10	Sac	Ino	E	11	6	46	1.04	0.046	0.2366
10	Sac	Ino	E	12	5	49.8	0.65	0.0229	0.1354
10	Sac	Ino	F	1	4	44.6	0.58	0.0219	0.134
10	Sac	Ino	F	2	5	44.9	0.75	0.0256	0.1627
10	Sac	Ino	F	3	5	49.2	0.78	0.0468	0.1658
10	Sac	Ino	F	4	5	43.3	0.66	0.0199	0.1422
10	Sac	Ino	F	5	4	44	0.52	0.0164	0.1134
10	Sac	Ino	F	6	5	48	0.8	0.0241	0.1574
10	Sac	Ino	F	7	5	48.9	0.85	0.0326	0.1584
10	Sac	Ino	F	8	4	44.3	0.55	0.011	0.104
10	Sac	Ino	F	9	5	45.5	0.86	0.0273	0.1719
10	Sac	Ino	F	10	5	45	0.8	0.021	0.1488
10	Sac	Ino	F	11	4	51	1.03	0.0391	0.1932
10	Sac	Ino	F	12	6	49	1.05	0.021	0.1873
11	BA	NC	A	1	5	36.5	0.38	0.0227	0.0822
11	BA	NC	A	2	4	38.7	0.44	0.0277	0.1034
11	BA	NC	A	3	3	12.5	0.07	0.0051	0.0116
11	BA	NC	A	4	4	38.2	0.45	0.0172	0.1052
11	BA	NC	A	5	5	39.6	0.47	0.0229	0.1086
11	BA	NC	A	6	4	25.2	0.28	0.0158	0.0691
11	BA	NC	A	7	5	40.2	0.56	0.0176	0.114
11	BA	NC	A	8	5	38.3	0.42	0.0116	0.0872
11	BA	NC	A	9	5	44.2	0.54	0.0181	0.1291
11	BA	NC	A	10	4	45.3	0.65	0.0217	0.1403
11	BA	NC	A	11	3	35.2	0.38	0.0142	0.0865
11	BA	NC	A	12	NA	NA	NA	NA	NA
11	BA	NC	B	1	5	44.2	0.57	0.0269	0.1394
11	BA	NC	B	2	4	31.5	0.27	0.0156	0.057
11	BA	NC	B	3	4	40.9	0.48	NA	0.1174
11	BA	NC	B	4	4	42.2	0.43	0.0364	0.0888
11	BA	NC	B	5	4	39.2	0.44	0.02	0.1075
11	BA	NC	B	6	5	45.2	0.63	0.0272	0.1466
11	BA	NC	B	7	4	44.1	0.62	0.0179	0.138
11	BA	NC	B	8	4	43.3	0.58	0.0204	0.1386
11	BA	NC	B	9	3	34.1	0.3	0.0102	0.0571
11	BA	NC	B	10	5	45.6	0.69	0.0263	0.1485
11	BA	NC	B	11	5	42.1	0.48	0.0183	0.106
11	BA	NC	B	12	5	43.8	0.51	0.0279	0.1224
11	BA	NC	C	1	5	34.2	0.47	0.0203	0.1065
11	BA	NC	C	2	4	38.4	0.37	0.0273	0.0915
11	BA	NC	C	3	5	41.4	0.46	0.0199	0.1086
11	BA	NC	C	4	4	41.1	0.48	0.035	0.1234
11	BA	NC	C	5	4	44.9	0.4	0.0225	0.0887
11	BA	NC	C	6	4	38	0.46	0.0023	0.1042
11	BA	NC	C	7	5	42.8	0.55	0.0187	0.1255
11	BA	NC	C	8	5	40.4	0.45	0.0181	0.0906
11	BA	NC	C	9	5	42.3	0.62	0.018	0.1339
11	BA	NC	C	10	4	34.8	0.41	0.0154	0.0784
11	BA	NC	C	11	5	45.1	0.59	NA	0.1209
11	BA	NC	C	12	5	40.8	0.48	0.018	0.1069
11	BA	NC	D	1	5	44	0.59	0.0219	0.1336
11	BA	NC	D	2	4	32.3	0.34	0.0187	0.0678
11	BA	NC	D	3	4	44.2	0.48	0.0282	0.1208
11	BA	NC	D	4	5	47.6	0.7	0.0254	0.1515
11	BA	NC	D	5	5	38.1	0.41	0.0112	0.0821
11	BA	NC	D	6	4	41.8	0.58	0.0189	0.1241
11	BA	NC	D	7	5	44.1	0.67	0.02	0.1425
11	BA	NC	D	8	4	36.5	0.38	0.0132	0.0814
11	BA	NC	D	9	5	39.5	0.49	0.0158	0.1026
11	BA	NC	D	10	5	40	0.53	0.0203	0.115
11	BA	NC	D	11	4	46.8	0.74	0.0228	0.0892
11	BA	NC	D	12	4	39	0.42	0.0131	0.0909
11	BA	NC	E	1	5	43.1	0.52	0.0194	0.1261
11	BA	NC	E	2	5	45.2	0.61	0.0231	0.1334
11	BA	NC	E	3	3	21.8	0.13	0.0287	0.162
11	BA	NC	E	4	5	45.9	0.61	0.0235	0.1287
11	BA	NC	E	5	5	44.7	0.6	0.0199	0.1367
11	BA	NC	E	6	4	40.8	0.39	0.01	0.0758
11	BA	NC	E	7	5	44.6	0.59	0.0307	0.1289
11	BA	NC	E	8	4	39	0.45	0.0135	0.0913
11	BA	NC	E	9	5	43.6	0.61	0.0295	0.1262
11	BA	NC	E	10	4	40.6	0.56	0.0206	0.1201
11	BA	NC	E	11	4	44.9	0.67	NA	NA
11	BA	NC	E	12	5	46	0.55	0.0169	0.106
11	BA	NC	F	1	5	41.3	0.45	0.0188	0.113
11	BA	NC	F	2	4	42	0.44	0.0204	0.0853
11	BA	NC	F	3	4	46.1	0.57	0.0227	0.141
11	BA	NC	F	4	5	41.8	0.49	0.0185	0.1062
11	BA	NC	F	5	4	43.2	0.64	0.0204	0.1371
11	BA	NC	F	6	5	43.1	0.64	0.0233	0.1355
11	BA	NC	F	7	5	42	0.47	NA	0.1196
11	BA	NC	F	8	3	38.5	0.33	0.014	0.0674
11	BA	NC	F	9	4	37	0.39	0.0205	0.089
11	BA	NC	F	10	4	43.1	0.72	0.0245	0.1581
11	BA	NC	F	11	5	42	0.53	0.0306	0.1165
11	BA	NC	F	12	4	39.5	0.49	0.0117	0.1093
12	AN	Ino	A	1	5	39.4	0.47	0.0173	0.0975
12	AN	Ino	A	2	5	44	0.63	0.0182	0.1262
12	AN	Ino	A	3	4	37.1	0.44	0.0224	0.1028
12	AN	Ino	A	4	5	41.5	0.57	0.0243	0.1207
12	AN	Ino	A	5	5	42	0.5	NA	0.104
12	AN	Ino	A	6	4	45.4	0.72	0.0204	0.1528
12	AN	Ino	A	7	5	43.5	0.65	0.0183	0.1355
12	AN	Ino	A	8	5	41.9	0.52	0.0159	0.107
12	AN	Ino	A	9	5	38.2	0.58	0.0239	0.1366
12	AN	Ino	A	10	4	40.2	0.54	0.0286	0.1168
12	AN	Ino	A	11	6	47.1	0.92	0.0274	0.2018
12	AN	Ino	A	12	3	24	0.16	0.0052	0.0288
12	AN	Ino	B	1	4	44.1	0.52	0.0157	0.1067
12	AN	Ino	B	2	3	33.2	0.23	0.0092	0.0385
12	AN	Ino	B	3	5	41.1	0.42	0.0154	0.087
12	AN	Ino	B	4	5	43	0.52	0.0139	0.1037
12	AN	Ino	B	5	5	41.9	0.51	0.0158	0.101
12	AN	Ino	B	6	4	38.9	0.42	0.016	0.083
12	AN	Ino	B	7	5	43.8	0.78	0.0255	0.1706
12	AN	Ino	B	8	5	42.7	0.65	0.0223	0.1318
12	AN	Ino	B	9	5	43.6	0.53	0.0173	0.1068
12	AN	Ino	B	10	4	28.5	0.23	0.0082	0.052
12	AN	Ino	B	11	5	45.4	0.7	0.0321	0.1588
12	AN	Ino	B	12	5	41.6	0.65	0.0239	0.1477
12	AN	Ino	C	1	4	29.1	0.19	0.0063	0.0366
12	AN	Ino	C	2	5	40	0.41	0.0112	0.0847
12	AN	Ino	C	3	5	43	0.56	0.0178	0.1143
12	AN	Ino	C	4	5	38	0.55	0.0189	0.1144
12	AN	Ino	C	5	5	38.2	0.4	0.0129	0.0762
12	AN	Ino	C	6	4	44.3	0.41	0.009	0.0733
12	AN	Ino	C	7	5	36.2	0.48	0.0203	0.0923
12	AN	Ino	C	8	5	42	0.65	0.0203	0.1332
12	AN	Ino	C	9	5	39.8	0.66	0.0208	0.1427
12	AN	Ino	C	10	4	40	0.56	0.0185	0.1269
12	AN	Ino	C	11	4	41.1	0.68	0.018	0.1398
12	AN	Ino	C	12	5	39.8	0.59	0.0213	0.1255
12	AN	Ino	D	1	5	42.7	0.56	0.0239	0.1158
12	AN	Ino	D	2	5	43.4	0.65	0.022	0.1417
12	AN	Ino	D	3	5	37.8	0.5	0.0168	0.1009
12	AN	Ino	D	4	5	45.5	0.61	0.0194	0.119
12	AN	Ino	D	5	5	43	0.66	0.0018	0.1403
12	AN	Ino	D	6	5	43.6	0.56	0.018	0.1069
12	AN	Ino	D	7	5	44	0.66	0.0205	0.1336
12	AN	Ino	D	8	5	42	0.7	0.0216	0.1278
12	AN	Ino	D	9	5	40.8	0.55	0.0164	0.11
12	AN	Ino	D	10	6	43.3	0.74	0.0298	0.1469
12	AN	Ino	D	11	5	42.1	0.61	0.0153	0.1276
12	AN	Ino	D	12	4	42.6	0.72	0.0266	0.161
12	AN	Ino	E	1	5	41.1	0.58	0.0159	0.1215
12	AN	Ino	E	2	4	40.4	0.48	0.0158	0.1002
12	AN	Ino	E	3	5	43.4	0.56	0.0167	0.1151
12	AN	Ino	E	4	5	42.1	0.77	0.0215	0.1592
12	AN	Ino	E	5	5	43.4	0.59	0.0174	0.1168
12	AN	Ino	E	6	5	45.5	0.77	0.0233	0.162
12	AN	Ino	E	7	5	44.4	0.6	0.0196	0.1248
12	AN	Ino	E	8	4	43	0.77	0.0239	0.1644
12	AN	Ino	E	9	5	42.5	0.6	0.0171	0.1244
12	AN	Ino	E	10	2	6.1	0.02	0.003	0.0046
12	AN	Ino	E	11	5	42.8	0.67	0.0223	0.1371
12	AN	Ino	E	12	5	43.1	0.57	0.0159	0.1098
12	AN	Ino	F	1	5	41.6	0.47	0.014	0.0967
12	AN	Ino	F	2	5	44.7	0.7	0.0182	0.139
12	AN	Ino	F	3	5	44.7	0.65	0.0358	0.1355
12	AN	Ino	F	4	5	40.8	0.47	0.0132	0.1039
12	AN	Ino	F	5	5	42.6	0.55	0.0189	0.1148
12	AN	Ino	F	6	NA	NA	NA	NA	NA
12	AN	Ino	F	7	5	41.3	0.39	0.0143	0.0771
12	AN	Ino	F	8	5	43.5	0.59	0.019	0.1112
12	AN	Ino	F	9	5	44.1	0.8	0.0267	0.1686
12	AN	Ino	F	10	5	43	0.67	0.0203	0.1394
12	AN	Ino	F	11	5	43.8	0.73	NA	0.1556
12	AN	Ino	F	12	5	42.5	0.69	0.025	0.131
13	AA	NC	A	1	5	45.2	0.61	0.0218	0.1178
13	AA	NC	A	2	4	25.8	0.21	0.0036	0.0368
13	AA	NC	A	3	5	44.1	0.48	0.0138	0.0995
13	AA	NC	A	4	5	48.2	0.68	0.0138	0.1361
13	AA	NC	A	5	4	45.3	0.73	0.0235	0.1456
13	AA	NC	A	6	4	46.6	0.65	0.0193	0.1324
13	AA	NC	A	7	5	44.6	0.71	0.03	0.1424
13	AA	NC	A	8	5	43.7	0.69	0.0178	0.1334
13	AA	NC	A	9	4	42.1	0.41	0.011	0.0784
13	AA	NC	A	10	5	44.3	0.64	0.0266	0.13
13	AA	NC	A	11	5	48.2	0.63	0.0226	0.1177
13	AA	NC	A	12	5	47.1	0.94	0.0235	0.1903
13	AA	NC	B	1	5	45.5	0.49	0.0146	0.1088
13	AA	NC	B	2	5	47.4	0.84	0.0298	0.1735
13	AA	NC	B	3	5	45.7	0.65	0.0321	0.1362
13	AA	NC	B	4	6	46.3	0.82	NA	0.1721
13	AA	NC	B	5	5	45.3	0.71	0.0212	0.1464
13	AA	NC	B	6	5	41.1	0.5	0.0186	0.1055
13	AA	NC	B	7	4	41.8	0.44	0.0133	0.0903
13	AA	NC	B	8	6	46	0.94	0.0291	0.1955
13	AA	NC	B	9	5	45.7	0.54	0.027	0.0994
13	AA	NC	B	10	4	45.1	0.5	0.0127	0.0968
13	AA	NC	B	11	5	43	0.59	0.0282	0.1145
13	AA	NC	B	12	6	46.1	0.83	0.0268	0.1744
13	AA	NC	C	1	5	44	0.66	0.0276	0.1345
13	AA	NC	C	2	5	41.2	0.6	0.0061	0.1288
13	AA	NC	C	3	5	44.2	0.68	0.0255	0.1415
13	AA	NC	C	4	5	46.3	0.73	0.0183	0.147
13	AA	NC	C	5	5	47	0.78	0.0246	0.1517
13	AA	NC	C	6	5	45.3	0.77	0.0324	0.1543
13	AA	NC	C	7	3	24.7	0.13	0.0098	0.0233
13	AA	NC	C	8	5	45.6	0.58	0.0166	0.1153
13	AA	NC	C	9	5	47	0.88	0.0249	0.1897
13	AA	NC	C	10	5	43.3	0.5	0.0112	0.092
13	AA	NC	C	11	4	45.9	0.73	NA	0.1508
13	AA	NC	C	12	5	44	0.62	0.0199	0.1216
13	AA	NC	D	1	5	42.1	0.61	0.0183	0.1238
13	AA	NC	D	2	4	29.2	0.2	0.0259	0.0389
13	AA	NC	D	3	4	45.5	0.73	0.0254	0.1558
13	AA	NC	D	4	4	46.1	0.57	0.0233	0.12
13	AA	NC	D	5	NA	NA	NA	NA	NA
13	AA	NC	D	6	5	45.2	0.62	NA	0.1221
13	AA	NC	D	7	4	46	0.79	0.0315	0.1497
13	AA	NC	D	8	4	46.7	0.7	0.0213	0.1448
13	AA	NC	D	9	4	42.2	0.61	0.0262	0.1304
13	AA	NC	D	10	4	42.9	0.77	0.0228	0.15
13	AA	NC	D	11	5	44.3	0.9	0.0189	0.1384
13	AA	NC	D	12	5	46	0.69	0.0295	0.182
13	AA	NC	E	1	6	47.2	0.7	0.0277	0.148
13	AA	NC	E	2	5	44.6	0.61	0.0232	0.1244
13	AA	NC	E	3	5	45.5	0.66	0.0212	0.1351
13	AA	NC	E	4	2	12.1	0.07	0.0026	0.0129
13	AA	NC	E	5	5	44.3	0.72	0.0248	0.1423
13	AA	NC	E	6	2	10	0.04	0.0044	0.0081
13	AA	NC	E	7	5	46	0.68	0.0194	0.1375
13	AA	NC	E	8	5	47.8	0.8	0.0265	0.162
13	AA	NC	E	9	4	43	0.45	0.0212	0.087
13	AA	NC	E	10	5	45.8	0.7	0.023	0.1383
13	AA	NC	E	11	4	40.1	0.33	0.0107	0.0598
13	AA	NC	E	12	4	45.7	0.5	0.0163	0.0978
13	AA	NC	F	1	5	43.6	0.62	0.0242	0.1351
13	AA	NC	F	2	4	44.1	0.56	0.0149	0.1253
13	AA	NC	F	3	6	48.2	0.78	0.0258	0.1661
13	AA	NC	F	4	5	39	0.56	0.0247	0.1162
13	AA	NC	F	5	5	44.1	0.62	0.0227	0.1289
13	AA	NC	F	6	5	44.7	0.72	0.0202	0.156
13	AA	NC	F	7	4	43.1	0.66	0.0177	0.1202
13	AA	NC	F	8	6	44.3	0.75	0.0345	0.1506
13	AA	NC	F	9	5	45.1	0.71	0.0211	0.1465
13	AA	NC	F	10	5	43	0.51	0.0296	0.0968
13	AA	NC	F	11	4	44.7	0.62	0.022	0.1252
13	AA	NC	F	12	5	47	0.94	0.0242	0.193
14	Sac	NC	A	1	5	43.4	0.65	0.0228	0.1361
14	Sac	NC	A	2	5	45.6	0.65	0.0237	0.146
14	Sac	NC	A	3	5	45	0.73	0.0331	0.1458
14	Sac	NC	A	4	5	47.2	0.72	0.0197	0.1333
14	Sac	NC	A	5	5	46	0.68	0.0127	0.1098
14	Sac	NC	A	6	4	38.9	0.54	0.016	0.0904
14	Sac	NC	A	7	5	42	0.44	0.0197	0.1247
14	Sac	NC	A	8	5	45.3	0.6	0.0183	0.1199
14	Sac	NC	A	9	5	43.1	0.6	0.0189	0.1021
14	Sac	NC	A	10	4	42.4	0.54	0.017	0.0975
14	Sac	NC	A	11	5	41.3	0.54	0.0197	0.1474
14	Sac	NC	A	12	5	42	0.7	0.0227	0.1235
14	Sac	NC	B	1	5	43	0.63	0.0242	0.1364
14	Sac	NC	B	2	5	46.2	0.72	0.0311	0.1506
14	Sac	NC	B	3	5	40.9	0.54	0.0163	0.1062
14	Sac	NC	B	4	5	49.1	0.61	0.0208	0.1242
14	Sac	NC	B	5	5	46.2	0.75	NA	0.1624
14	Sac	NC	B	6	3	11.1	0.07	0.0047	0.011
14	Sac	NC	B	7	NA	NA	NA	NA	NA
14	Sac	NC	B	8	5	41.6	0.61	0.0176	0.1306
14	Sac	NC	B	9	5	47.1	0.86	0.0228	0.1766
