term	comparison	estimate	conf.low	conf.high	adj.p.value
group	A_Endosphere-A_Bulk Soil	-0.022137867043782122	-0.10059940416812733	0.05632367008056309	0.9603941059481558
group	A_Rhizosphere-A_Bulk Soil	-0.06768833753156034	-0.14387514228731374	0.008498467224193063	0.1091143019886971
group	N_Bulk Soil-A_Bulk Soil	0.054036853565378296	-0.01719377021937535	0.12526747735013194	0.2376745401816076
group	N_Endosphere-A_Bulk Soil	0.061297806542016164	-0.014888998213737237	0.13748461129776957	0.18356952828989148
group	N_Rhizosphere-A_Bulk Soil	0.024998228900777575	-0.051188575854975826	0.10118503365653098	0.9264654400969912
group	A_Rhizosphere-A_Endosphere	-0.045550470487778216	-0.12730552043241816	0.036204579456861744	0.5747852570838454
group	N_Bulk Soil-A_Endosphere	0.07617472060916042	-9.82655819308148e-4	0.15333209703762898	0.05491864196208196
group	N_Endosphere-A_Endosphere	0.08343567358579829	0.001680623641158327	0.16519072353043823	0.04286874893298642
group	N_Rhizosphere-A_Endosphere	0.0471360959445597	-0.03461895400008026	0.12889114588919964	0.5379247242027391
group	N_Bulk Soil-A_Rhizosphere	0.12172519109693863	0.04688217439998364	0.1965682077938936	1.6607736154139463e-4
group	N_Endosphere-A_Rhizosphere	0.1289861440735765	0.04941162175376072	0.20856066639339227	1.7573053339470235e-4
group	N_Rhizosphere-A_Rhizosphere	0.09268656643233791	0.013112044112522134	0.17226108875215368	0.013472125654480083
group	N_Endosphere-N_Bulk Soil	0.007260952976637869	-0.06758206372031712	0.08210396967359286	0.9997286634818165
group	N_Rhizosphere-N_Bulk Soil	-0.02903862466460072	-0.10388164136155571	0.04580439203235427	0.8610361734868208
group	N_Rhizosphere-N_Endosphere	-0.03629957764123859	-0.11587409996105437	0.04327494467857719	0.7591583147903584
