group_var	distance
N_Rhizosphere	0.41381221810002655
N_Rhizosphere	0.4086408541308209
N_Rhizosphere	0.43048915445269215
N_Rhizosphere	0.42132912849086124
N_Endosphere	0.4970842144385013
N_Endosphere	0.46084907548599485
N_Endosphere	0.49465037735509787
N_Endosphere	0.4318769671979519
N_Bulk Soil	0.5016363351464133
N_Bulk Soil	0.5035594763080989
N_Bulk Soil	0.4582284918478108
N_Bulk Soil	0.46267623730407903
N_Bulk Soil	0.45984716753161675
N_Bulk Soil	0.4670081802780886
A_Rhizosphere	0.3919309839642034
A_Endosphere	0.39977659066693527
A_Endosphere	0.40619822007575995
A_Endosphere	0.3594904867207504
A_Endosphere	0.3417877659925092
A_Bulk Soil	0.3453805415507299
A_Bulk Soil	0.339003723356809
A_Bulk Soil	0.29046384894508304
A_Bulk Soil	0.2994018523190785
A_Bulk Soil	0.28770587715857965
A_Bulk Soil	0.28994038135525935
A_Rhizosphere	0.3909717699535783
A_Rhizosphere	0.38959638231970634
A_Rhizosphere	0.4187035268188151
N_Bulk Soil	0.4489459171127124
A_Rhizosphere	0.25559704631857394
A_Rhizosphere	0.22728642212228978
A_Rhizosphere	0.23741657066974398
A_Endosphere	0.378893748597544
A_Endosphere	0.3311853935811161
A_Bulk Soil	0.4349636612621047
N_Rhizosphere	0.4637256563423033
N_Rhizosphere	0.3681161666780243
N_Rhizosphere	0.37678604603669946
N_Bulk Soil	0.422401493423465
N_Endosphere	0.3949399370829684
N_Endosphere	0.45188143344550885
N_Endosphere	0.3866890372388456
N_Bulk Soil	0.35787088236321735
N_Bulk Soil	0.3498490812800738
N_Bulk Soil	0.49415515153198697
A_Rhizosphere	0.29508218220653326
A_Rhizosphere	0.24005165066703496
A_Rhizosphere	0.26905181249730464
A_Endosphere	0.3001984091314019
A_Endosphere	0.32707818617792495
A_Endosphere	0.3694649462300681
A_Bulk Soil	0.3980400332890822
A_Bulk Soil	0.46379705409934696
A_Bulk Soil	0.3932393968132721
N_Rhizosphere	0.37413960600313473
N_Rhizosphere	0.35805809122125914
N_Rhizosphere	0.42745709040534347
N_Endosphere	0.3847700021768402
N_Endosphere	0.46657203794480645
N_Endosphere	0.4362367059070346
N_Bulk Soil	0.3635199037849779
N_Bulk Soil	0.343124018146782
A_Bulk Soil	0.5504651624015542
A_Bulk Soil	0.45868453487316674
