SampleID	host_common_name	host_subject_id	study	Site	Compartment	From	Experiment	LatinName	MDS1	MDS2	MDS3	MDS4	MDS5
Arw.31	Redstem	NA	domestication	Arkansas	Endosphere	A	Weeds	Ammania sp.	0.6012467982682685	-0.8568239435510723	-0.42128009129540184	-0.9712668526038957	1.1340568460807765
Arw.32	Redstem	NA	domestication	Arkansas	Endosphere	A	Weeds	Ammania sp.	0.7139933749702014	-0.7795097719001629	-0.6319056434682897	-1.197131038826013	0.9506710962404445
Arw.33	Redstem	NA	domestication	Arkansas	Endosphere	A	Weeds	Ammania sp.	0.7813677916812168	-0.6212867175505253	-0.8203464843357439	-0.9902398459265123	0.9865111483497132
Arw.34	Redstem	NA	domestication	Arkansas	Endosphere	A	Weeds	Ammania sp.	0.7562609280055371	-0.27436997712154854	0.06934693666420522	-0.6496471848709229	0.7050430068715374
Arw.35	Sedge	NA	domestication	Arkansas	Endosphere	A	Weeds	Cyperus iria	1.0292000213687256	0.1761867487543452	0.5198739505089442	0.002642486228644302	0.058260480341915
Arw.36	Redstem	NA	domestication	Arkansas	Endosphere	A	Weeds	Ammania sp.	0.7211417998054686	-0.4865749253381053	-0.6980329905361655	-0.9795548085306955	0.3824330136685523
Arw.37	Rice	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Oryza sativa	-0.5943945669087415	-0.19598717020629397	-0.3790213240547374	0.26670223904169466	-0.054206762251724355
Arw.38	Rice	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Oryza sativa	-0.6234764556675327	-0.16655211947074283	-0.3178579434029101	0.13015796401509855	-0.12209331222242406
Arw.39	Rice	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Oryza sativa	-0.7612018533836317	-0.07426422727817382	-0.15295432862677086	-0.07585762540226322	0.061381602822605366
Arw.4	Sedge	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Cyperus iria	0.16176557615331902	0.873734630917084	-0.008711630032709706	0.7044464027295664	0.5804541448259947
Arw.40	Rice	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Oryza sativa	-0.514183262842344	-0.07779777417939814	-0.45050646525843757	0.39239730797146344	0.1596778837424939
Arw.41	Rice	NA	domestication	Arkansas	Endosphere	A	Weeds	Oryza sativa	0.27135993897770605	-1.7048850983870154	-0.7736346058815865	1.5276932153044236	-1.174986317850531
Arw.42	Rice	NA	domestication	Arkansas	Endosphere	A	Weeds	Oryza sativa	0.18915378674269212	-1.7563206903130433	-0.8209495184986478	1.818748668982857	-0.8277852304271979
Arw.43	Rice	NA	domestication	Arkansas	Endosphere	A	Weeds	Oryza sativa	0.07515300955462945	-1.5168825625104028	-0.6791721905853393	1.2297839224067588	-0.3349409437870919
Arw.44	Rice	NA	domestication	Arkansas	Endosphere	A	Weeds	Oryza sativa	0.16691515526111436	-1.4327284383172143	-0.5436035542233425	1.1938914120283004	-0.32896906008406884
Arw.45	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.7487228475171961	-0.10014954744401462	0.011067360597989193	-0.2636515150375024	-0.09541957385980963
Arw.46	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.7770862623619671	-0.20670814116630645	0.07421205315437089	-0.3893909997585583	-0.15285013802733474
Arw.5	Sedge	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Cyperus iria	0.585374067441997	0.9324533501464571	-0.017922605870422256	1.0844783028840161	0.6697620083412854
Arw.6	Sedge	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Cyperus iria	-0.1622631220162357	0.42778273754452484	-0.39520483826970476	0.3076924916892914	0.6313018682576125
Arw.7	Mudplantain	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Heteranthera limosa	0.10719755633457811	0.5434722247605004	-0.8500148073978254	-0.5492619861311625	-0.365793864333526
Arw.8	Mudplantain	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Heteranthera limosa	0.03484679465404469	0.6786078813450946	-0.8335631229820475	-0.6238612554693419	-0.6158478405893563
Arw.9	Mudplantain	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Heteranthera limosa	-0.13554813011081623	0.5383624157811074	-0.7125494428989408	-0.6399697878511917	-0.7056796663277016
