SampleID	host_common_name	host_subject_id	study	Site	Compartment	From	Experiment	LatinName	MDS1	MDS2	MDS3	MDS4	MDS5
ArbTr.109	Rice	NA	domestication	Arbuckle	Rhizosphere	N	Transplant	Oryza sativa	-0.06809033777491347	-0.574245081440511	-1.2304579665085158	-0.8834021182992433	-0.24387058640889395
ArbTr.110	Rice	NA	domestication	Arbuckle	Rhizosphere	N	Transplant	Oryza sativa	-0.20302349845504833	-0.6474372341389069	-1.3471534322220542	-0.764493736427465	-0.08449581890819108
ArbTr.111	Rice	NA	domestication	Arbuckle	Rhizosphere	N	Transplant	Oryza sativa	-0.08532819653616101	-0.5457442010595028	-1.3116972549025179	-0.8019836805143938	-0.1907555174906032
ArbTr.112	Rice	NA	domestication	Arbuckle	Rhizosphere	N	Transplant	Oryza sativa	-0.028649350936973732	-0.5164932136483094	-1.2791201403671666	-0.9159787172855987	-0.2966730120613008
ArbTr.141	Rice	NA	domestication	Arbuckle	Endosphere	N	Transplant	Oryza sativa	1.096720092166928	-0.4176169751166003	-0.6098373701954788	-0.787109861832096	-0.761072825030332
ArbTr.142	Rice	NA	domestication	Arbuckle	Endosphere	N	Transplant	Oryza sativa	1.2526196835643815	-0.4762341461180982	-0.6074009061193201	-0.41447967033193334	-0.7965811218614478
ArbTr.143	Rice	NA	domestication	Arbuckle	Endosphere	N	Transplant	Oryza sativa	1.174869935959578	-0.34450924172878933	-0.5689797608554348	-0.4135032130338848	-0.8369154627467847
ArbTr.144	Rice	NA	domestication	Arbuckle	Endosphere	N	Transplant	Oryza sativa	1.3782672719718336	-0.39206966667635046	-0.44543056789701746	-0.47643517436100086	-0.9342089855290853
ArbTr.171	Rice	NA	domestication	Arbuckle	Bulk Soil	N	Transplant	Oryza sativa	-0.48257458066680975	-0.5482549946481258	-1.3967206804487515	-0.0162877942940088	0.6695790276931516
ArbTr.172	Rice	NA	domestication	Arbuckle	Bulk Soil	N	Transplant	Oryza sativa	-0.540503194753071	-0.5294171036964527	-1.3647598314537495	0.007995921432099675	0.6104752194459578
ArbTr.175	Rice	NA	domestication	Arbuckle	Bulk Soil	N	Transplant	Oryza sativa	-0.4927388628509343	-0.5553322885368928	-1.547812376142983	-0.3433847184735634	0.38554057933773145
ArbTr.176	Rice	NA	domestication	Arbuckle	Bulk Soil	N	Transplant	Oryza sativa	-0.5131288201137164	-0.49663328325140194	-1.5676788081974395	-0.24883101303509284	0.3883780442326455
ArbTr.179	Rice	NA	domestication	Arbuckle	Bulk Soil	N	Transplant	Oryza sativa	-0.563675291584338	-0.350414809793106	-1.3451479346345772	-0.33553471150509856	0.3897081179042106
ArbTr.180	Rice	NA	domestication	Arbuckle	Bulk Soil	N	Transplant	Oryza sativa	-0.52308677946854365	-0.3563250210045918	-1.4235596949290317	-0.43405896553617485	0.3495961761404461
BiggsTr.100	Rice	NA	domestication	Biggs	Rhizosphere	A	Transplant	Oryza sativa	-0.023529459709140818	1.0202836119904433	-0.22547314667158538	0.6154343929602863	-0.4771825512978157
BiggsTr.129	Rice	NA	domestication	Biggs	Endosphere	A	Transplant	Oryza sativa	0.9311933095229633	0.5600665575485476	0.15359715993425074	0.1485111279651974	-1.0074176304417473
BiggsTr.130	Rice	NA	domestication	Biggs	Endosphere	A	Transplant	Oryza sativa	0.9225723513263542	0.6127396022132304	0.0835947031236668	0.23505575959664385	-0.8477491808896555
BiggsTr.131	Rice	NA	domestication	Biggs	Endosphere	A	Transplant	Oryza sativa	1.0617593380163706	0.4648150595936462	0.1413354716426582	-0.1466202807973066	-1.1147464392095476
BiggsTr.132	Rice	NA	domestication	Biggs	Endosphere	A	Transplant	Oryza sativa	0.9371966719833373	0.6585212736141852	0.11657709440582592	-0.07691493309528512	-1.2021817648892774
BiggsTr.169	Rice	NA	domestication	Biggs	Bulk Soil	A	Transplant	Oryza sativa	-0.40973570024515554	1.0735006144245243	-0.6941760527216292	1.472287676058239	0.049402649526446636
BiggsTr.170	Rice	NA	domestication	Biggs	Bulk Soil	A	Transplant	Oryza sativa	-0.39198884989505256	1.0863975359849638	-0.6847437545053635	1.4554678209310588	0.019519809197665723
BiggsTr.173	Rice	NA	domestication	Biggs	Bulk Soil	A	Transplant	Oryza sativa	-0.37549768112676624	1.162599565998743	-0.5372958778562723	1.3078624462032873	-0.013585798004988395
BiggsTr.174	Rice	NA	domestication	Biggs	Bulk Soil	A	Transplant	Oryza sativa	-0.3310927118999164	1.1187042982856323	-0.5801107757097196	1.2647579622881293	0.050722106678977384
BiggsTr.177	Rice	NA	domestication	Biggs	Bulk Soil	A	Transplant	Oryza sativa	-0.3860192298588218	1.2247833656783662	-0.41080514359519293	1.2072809757285285	-0.03805237824703334
BiggsTr.178	Rice	NA	domestication	Biggs	Bulk Soil	A	Transplant	Oryza sativa	-0.36159442508223527	1.221168448841589	-0.4186214338329953	1.1418872693483013	-0.11845517783967133
BiggsTr.97	Rice	NA	domestication	Biggs	Rhizosphere	A	Transplant	Oryza sativa	-0.15118371646735768	0.971637356113576	-0.1965652552094357	0.7763245149406952	-0.3109134475501941
BiggsTr.98	Rice	NA	domestication	Biggs	Rhizosphere	A	Transplant	Oryza sativa	-0.13666321488761468	0.9901309421068768	-0.22257105462189822	0.7391392737594902	-0.33617175958341877
BiggsTr.99	Rice	NA	domestication	Biggs	Rhizosphere	A	Transplant	Oryza sativa	0.07270078927702468	0.8231792958159827	-0.16403274998973943	0.5510622335544684	-0.523043663396305
